ID,Diagnóstico,ACCESO_1,ACCESO_2,COMUNA,Latitud,Longitud
3,Vandalizada,Santa Maria,Recoleta,Santiago,-33.4325,-70.6485
5,,Alameda,Santa Rosa,Santiago,-33.4428,-70.6462
7,Vandalizada,Alameda,Matucana,Santiago,-33.4507,-70.6790
8,,Departamental,Americo Vespucio,La Florida,-33.5097,-70.5906
9,,Americo Vespucio,Santa Rosa,San Ramon,-33.5426,-70.6342
10,,Americo Vespucio,Gran Avenida,La Cisterna,-33.5375,-70.6645
15,,Vicuña Mackenna,Diagonal Paraguay,Santiago,-33.4418,-70.6337
16,,Vicuña Mackenna,Matta,Santiago,-33.4555,-70.6298
17,,Providencia,Pedro De Valdivia,Providencia,-33.4235,-70.6124
18,,Apoquindo,Manquehue,Las Condes,-33.4088,-70.5672
21,,Americo Vespucio Cal Sur,Independencia,Conchali,-33.3665,-70.6892
31,,Americo Vespucio,Larrain,La Reina,-33.4535,-70.5706
38,,Departamental,La Florida,La Florida,-33.5100,-70.5883
44,,Alameda,Manuel Rodrigez,Santiago,-33.4465,-70.6607
54,,Alameda,Obispo Umaña,Estacion Central,-33.4526,-70.6850
56,,Alameda,Toro Mazotte,Estacion Central,-33.4542,-70.6921
73,,Gran Avenida,Los Morros,La Cisterna,-33.5424,-70.6658
77,,Nueva Providencia,Antonio Varas,Providencia,-33.4279,-70.6174
87,,Alameda,Nataniel Cox,Santiago,-33.4449,-70.6541
96,,Matta,Viel,Santiago,-33.4603,-70.6565
103,,Providencia,Salvador,Providencia,-33.4335,-70.6265
108,,Providencia,Los Leones,Providencia,-33.4199,-70.6058
118,,Americo Vespucio,Francisco Bilbao,Las Condes,-33.4311,-70.5748
127,,Tobalaba,Departamental,La Florida,-33.5116,-70.5606
133,,Americo Vespucio,Diagonal Oriente,Ñuñoa,-33.4589,-70.5724
137,,Macul,Grecia,Ñuñoa,-33.4644,-70.5983
160,,Americo Vespucio,Pajaritos,Maipu,-33.4868,-70.7495
169,,Ossa,Simon Bolivar,La Reina,-33.4480,-70.5716
224,,Departamental,Froilan Roa,Macul,-33.5089,-70.6020
233,,Vicuña Mackenna,Ñuble,Santiago,-33.4673,-70.6263
242,,Bustamante,Irarrazaval,Ñuñoa,-33.4523,-70.6289
